DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
25/03/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , ,1000,1864
08/04/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , ,1000,1865
16/04/2006,Valentin Courrent,Valentin Courrent, , , , , , ,1000,1866
28/04/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , ,1000,1867
06/05/2006,Valentin Courrent, , , , , , , ,1000,1868
14/05/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , ,1000,1869
27/05/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , ,1000,1870
02/10/2005,Daniel Larrechea,Daniel Larrechea,Daniel Larrechea, , , , , ,1000,2870
07/10/2005, , , , , , , , ,1000,2871
02/12/2005,David Blair,David Blair,David Blair, , , , , ,1000,2872
21/10/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , ,1000,2873
28/10/2005,Charlie Hodgson, , , , , , , ,1000,2874
09/12/2005,Charlie Hodgson,Charlie Hodgson, , , , , , ,1000,2875
16/12/2005,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , , ,1000,2876
15/01/2006,Charlie Hodgson,Charlie Hodgson, , , , , , ,1000,2877
21/01/2006,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , , ,1000,2878
02/04/2006,Charlie Hodgson,Charlie Hodgson, , , , , , ,1000,2879
07/09/2008,Luke McAlister,Luke McAlister,Luke McAlister, , , , , ,1000,2880
12/09/2008,Charlie Hodgson,Charlie Hodgson,Luke McAlister,Luke McAlister,Luke McAlister, , , ,1000,2881
19/09/2008,Luke McAlister,Luke McAlister,Luke McAlister, , , , , ,1000,2882
26/09/2008,Luke McAlister,Luke McAlister,Lee Thomas, , , , , ,1000,2885
01/10/2008,Charlie Hodgson,Charlie Hodgson, , , , , , ,1000,2886
14/11/2008,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson, , , , , ,1000,2887
23/11/2008,Charlie Hodgson,Charlie Hodgson, , , , , , ,1000,2888
28/11/2008,Luke McAlister,Luke McAlister, , , , , , ,1000,2889
20/12/2008,Luke McAlister, , , , , , , ,1000,2890
14/08/2020,AJ MacGinty, , , , , , , ,1000,3882
21/08/2020,Rob Du Preez, , , , , , , ,1000,3883
25/08/2020,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty, , , ,1000,3884
29/08/2020, , , , , , , , ,NULL,3885
26/12/2008,Charlie Hodgson, , , , , , , ,2518,3886
09/01/2009,Charlie Hodgson,Charlie Hodgson, , , , , , ,2519,3887
