DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
10/01/2014,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,1416
18/01/2014,Tommy Taylor,Henry Thomas,NULL,NULL,NULL,NULL,1417
25/01/2014,NULL,NULL,NULL,NULL,NULL,NULL,1418
31/01/2014,Marc Jones,Ross Harrison,NULL,NULL,NULL,NULL,1419
07/02/2014,NULL,NULL,NULL,NULL,NULL,NULL,1420
14/02/2014,NULL,NULL,NULL,NULL,NULL,NULL,1421
22/02/2014,NULL,NULL,NULL,NULL,NULL,NULL,1422
01/03/2014,NULL,NULL,NULL,NULL,NULL,NULL,1423
22/03/2014,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,1424
28/03/2014,Henry Thomas,NULL,NULL,NULL,NULL,NULL,1425
03/04/2014,Henry Thomas,NULL,NULL,NULL,NULL,NULL,1426
11/04/2014,NULL,NULL,NULL,NULL,NULL,NULL,1427
19/04/2014,NULL,NULL,NULL,NULL,NULL,NULL,1428
03/05/2014,Tom Arscott,NULL,NULL,NULL,NULL,NULL,1429
10/05/2014,NULL,NULL,NULL,NULL,NULL,NULL,1430
06/09/2014,NULL,NULL,NULL,NULL,NULL,NULL,1431
13/09/2014,NULL,NULL,NULL,NULL,NULL,NULL,1432
20/09/2014,NULL,NULL,NULL,NULL,NULL,NULL,1433
27/09/2014,David Seymour,NULL,NULL,NULL,NULL,NULL,1434
05/10/2014,Michael Patterson,NULL,NULL,NULL,NULL,NULL,1435
11/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,1436
18/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,1437
26/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,1438
01/11/2014,NULL,NULL,NULL,NULL,NULL,NULL,1439
09/11/2014,Mike Haley,NULL,NULL,NULL,NULL,NULL,1440
15/11/2014,NULL,NULL,NULL,NULL,NULL,NULL,1441
21/11/2014,NULL,NULL,NULL,NULL,NULL,NULL,1442
30/11/2014,NULL,NULL,NULL,NULL,NULL,NULL,1443
06/12/2014,NULL,NULL,NULL,NULL,NULL,NULL,1444
13/12/2014,NULL,NULL,NULL,NULL,NULL,NULL,1445
19/12/2014,Andrei Ostrikov,NULL,NULL,NULL,NULL,NULL,1446
27/12/2014,Will Addison,NULL,NULL,NULL,NULL,NULL,1447
04/01/2015,NULL,NULL,NULL,NULL,NULL,NULL,1448
